COD_IBGE,ENQUADRAMENTO_n,VALORBENEFÍCIO_mean,Abril,ValorAbril,Maio,ValorMaio,Junho,ValorJunho,Julho,ValorJulho
2703759,3821,75671.2902381576,3821,75.6712902381576,4013,75.1158734114129,3410,77.0674486803519,564,64.8936170212766
2703809,7028,76015.9362549801,7028,76.0159362549801,7466,75.2210018751674,5661,78.8447270800212,1494,64.4979919678715
2703908,1582,74146.6498103666,1582,74.1466498103666,1668,73.705035971223,1247,77.1291098636728,314,64.3949044585987
2704005,8570,73253.2088681447,8570,73.2532088681447,9246,72.4918883841661,6899,75.4283229453544,1761,64.3952299829642
2704104,7079,68255.4033055516,7079,68.2554033055516,7606,67.9752826715751,6089,68.9768434882575,1142,64.2031523642732
2704203,8880,68108.1081081081,8880,68.1081081081081,9666,67.6536312849162,7831,68.5659558166262,1439,63.7109103544128
2704302,240857,73957.659524116,240857,73.957659524116,296890,72.2035097174037,171962,75.9495702538933,102475,66.8399121737009
2704401,7122,69705.1390058972,7122,69.7051390058972,7559,69.3425056224368,6042,70.9632571996028,1222,63.0932896890344
2704500,10851,77992.8117224219,10851,77.9928117224219,12204,76.4257620452311,8687,81.4527454817543,2785,63.9640933572711
2704609,4384,71345.802919708,4384,71.345802919708,4547,71.0710358478117,3891,72.1665381649962,474,64.8101265822785
2704708,17414,76087.0563914092,17414,76.0870563914092,19862,74.6239049441144,13865,78.2964298593581,4797,65.8286429018136
2704807,4504,70683.836589698,4504,70.683836589698,4931,70.0628675725005,3750,72.144,936,63.3974358974359
2704906,1386,68398.2683982684,1386,68.3982683982684,1438,68.1780250347705,1207,69.6437448218724,184,63.2608695652174
2705002,7671,68861.9475948377,7671,68.8619475948377,8157,68.5251930856933,6612,69.3829401088929,1103,64.2973708068903
2705101,7600,76815.7894736842,7600,76.8157894736842,8385,75.6636851520572,6119,79.6012420330119,1718,65.5878928987194
2705200,5106,76051.7038777908,5106,76.0517038777908,5653,74.9442773748452,3530,79.971671388102,1464,65.9016393442623
2705309,1947,66132.5115562404,1947,66.1325115562404,2078,65.7459095283927,1559,66.3887107119949,400,64.95
2705408,3110,69202.5723472669,3110,69.2025723472669,3268,68.9779681762546,2704,69.9852071005917,399,63.9097744360902
2705507,8486,80405.3735564459,8486,80.4053735564459,9484,78.5744411640658,6874,84.361361652604,2065,63.6900726392252
2705606,3943,72158.2551356835,3943,72.1582551356835,4211,71.6409403942057,3311,74.0078526125038,726,64.5454545454545
2705705,6780,71504.4247787611,6780,71.5044247787611,7625,70.8275409836066,5559,73.2541824069077,1779,64.4856661045531
2705804,3398,71300.7651559741,3398,71.3007651559741,3571,70.9717166059927,2839,72.5748502994012,531,64.5197740112994
2705903,2296,68702.0905923345,2296,68.7020905923345,2351,68.57507443641,2133,69.0576652601969,154,63.5064935064935
2706000,4386,66703.146374829,4386,66.703146374829,4625,66.5124324324324,3924,67.0795107033639,633,64.5497630331754
2706109,5029,67969.7753032412,5029,67.9697753032412,5213,67.7690389411088,4406,68.620063549705,645,63.7209302325581
2706208,1915,67832.8981723238,1915,67.8328981723238,1999,67.7738869434717,1654,68.5610640870617,289,63.7370242214533
2706307,24526,71586.0719236728,24526,71.5860719236728,26758,70.9357949024591,19563,73.2218984818279,5362,64.4759418127564
2706406,8282,70120.7437816952,8282,70.1207437816952,9004,69.7023545091071,6849,71.4936487078406,1636,64.1809290953545
2706422,3814,70744.625065548,3814,70.744625065548,4044,70.3560830860534,3192,71.7857142857143,626,65.1757188498403
2706448,4962,77980.6529625151,4962,77.9806529625151,5453,76.6477168531084,3744,81.7307692307692,1241,65.4633360193392
2706505,4519,74034.078335915,4519,74.034078335915,4886,73.2992222677036,3752,76.1673773987207,864,64.4444444444444
2706604,2674,70815.2580403889,2674,70.8152580403889,2816,70.4616477272727,2144,72.4253731343284,477,64.4025157232704
2706703,21051,76092.3471569047,21051,76.0923471569047,23097,75.0045460449409,16361,78.7653566407921,5014,65.7798165137615
2706802,7143,73775.7244855103,7143,73.7757244855103,7621,73.1793727857237,6242,75.2835629605895,980,63.2448979591837
2706901,11908,78547.1951629157,11908,78.5471951629157,13233,77.1389707549309,9412,82.0059498512537,2893,65.205668855859
2707008,797,67979.9247176913,797,67.9799247176913,858,67.5524475524476,630,68.6666666666667,167,66.1077844311377
2707107,8423,72551.3475008904,8423,72.5513475008904,9137,71.9579730765021,7056,73.9795918367347,1583,65.0789639924195
2707206,4988,68420.208500401,4988,68.420208500401,5174,68.2682643989177,4449,69.1031692515172,577,63.5355285961872
2707305,9912,78898.3050847458,9912,78.8983050847458,10760,77.7825278810409,7881,83.2889227255424,2035,62.9189189189189
2707404,3145,72000,3145,72,3351,71.3876454789615,2737,73.4599926927293,470,62.936170212766
2707503,7905,71719.165085389,7905,71.719165085389,8371,71.3176442479991,6829,73.3460243080978,1113,62.8032345013477
2707602,4753,67460.5512308016,4753,67.4605512308016,4995,67.2432432432432,4057,68.0157752033522,628,64.0127388535032
2707701,27166,78307.4431274387,27166,78.3074431274387,31504,76.3369730827831,20086,81.7285671612068,8458,66.6682430834713
2707800,2351,73781.3696299447,2351,73.7813696299447,2515,73.2405566600398,1983,75.8245083207262,466,64.6351931330472
2707909,2305,74785.2494577006,2305,74.7852494577006,2600,73.6846153846154,1829,76.763258611263,597,65.5276381909548
2708006,16401,72291.933418694,16401,72.291933418694,17760,71.6385135135135,13977,73.5050440008586,3060,64.3725490196078
2708105,4460,67035.8744394619,4460,67.0358744394619,4680,66.8974358974359,3461,68.2866223634788,743,63.2301480484522
2708204,2592,66805.5555555556,2592,66.8055555555556,2769,66.5655471289274,2106,67.7492877492877,520,63.3461538461538
2708303,6962,80201.0916403332,6962,80.2010916403332,7890,78.2585551330799,5453,84.3058866678892,1897,64.6494464944649
2708402,11890,71798.149705635,11890,71.798149705635,12523,71.3215683143017,10231,73.1424103215717,1812,63.7417218543046
2708501,10054,81848.0206882833,10054,81.8480206882833,10804,80.6090336912255,8557,84.6184410424214,1691,65.5351862803075
2708600,16906,78841.8313024962,16906,78.8418313024962,18915,77.2434575733545,13070,82.3244070390207,4315,65.6732329084589
2708709,3093,68031.0378273521,3093,68.0310378273521,3418,67.6887068461088,2512,69.3869426751592,651,63.5023041474654
2708808,12801,68216.5455823764,12801,68.2165455823764,13636,67.9246113229686,10979,69.0117497039803,1929,63.8569206842924
2708907,4797,76210.1313320826,4797,76.2101313320826,6076,73.7162606978275,4093,77.297825555827,1861,66.2869425040301
2708956,4662,72612.6126126126,4662,72.6126126126126,4949,71.9539300868862,4127,73.8551005573055,729,63.9506172839506
2709004,2325,66709.6774193548,2325,66.7096774193548,2441,66.5383039737812,1875,67.744,389,62.6221079691517
2709103,6508,68647.8180700676,6508,68.6478180700676,7204,68.070516379789,5440,69.4411764705882,1440,64.0416666666667
2709152,13504,72107.5236966825,13504,72.1075236966825,15185,71.4626275930194,10658,73.7192719084256,3288,66.7518248175183
2709202,7929,67385.5467272039,7929,67.3855467272039,8362,67.1179143745515,6931,68.0334728033473,1060,63
2709301,21805,76669.5711992662,21805,76.6695711992662,24336,75.3377712031558,16785,80.3681858802502,5507,64.0530234247322
2709400,8952,75107.2386058981,8952,75.1072386058981,9664,74.1556291390728,7362,77.7261613691932,1666,63.5294117647059
2800100,902,67050.9977827051,902,67.0509977827051,986,66.9371196754564,672,68.6607142857143,171,62.1052631578947
2800209,7411,70136.2839023074,7411,70.1362839023074,7996,69.8524262131066,5578,72.2517031193976,1734,64.5674740484429
2800308,142668,73194.970140466,142668,73.194970140466,176299,71.5304114033545,99549,75.5700207937799,63426,66.1820073786775
2800407,4335,69633.2179930796,4335,69.6332179930796,4628,69.3733794295592,3467,71.3527545428324,791,63.6409608091024
2800506,6068,72429.1364535267,6068,72.4291364535267,6706,71.5150611392783,4637,74.6603407375458,1578,64.6768060836502
2800605,8784,73811.4754098361,8784,73.8114754098361,10214,72.635598198551,6294,76.463298379409,2985,66.6532663316583
2800670,9607,69830.3320495472,9607,69.8303320495472,10317,69.4097121256179,7592,71.5305584826133,1889,63.4621492853362
2800704,3111,68582.4493731919,3111,68.5824493731919,3393,68.2404951370469,2686,69.4713328369322,524,62.9770992366412
2801009,6302,71339.25737861,6302,71.33925737861,6916,70.7142857142857,4885,73.7563971340839,1539,63.0799220272905
2801108,1902,68643.5331230284,1902,68.6435331230284,1979,68.5194542698332,1644,69.5255474452555,228,64.2105263157895
2801207,11828,72392.6276631721,11828,72.3926276631721,12731,71.8058282931427,9229,74.6408061545129,2500,64.08
2801306,11795,77595.5913522679,11795,77.5955913522679,12830,76.344505066251,8903,81.0400988430866,2835,65.3756613756614
2801405,8076,71775.6315007429,8076,71.7756315007429,8621,71.1843173645749,6443,73.717212478659,1563,63.7619961612284
2801504,5440,76213.2352941177,5440,76.2132352941177,5984,75.2205882352941,4107,78.7582176771366,1166,66.0205831903945
2801603,1944,66203.7037037037,1944,66.2037037037037,2065,66.1598062953995,1540,66.6233766233766,381,64.5669291338583
2801702,7085,72355.6810162315,7085,72.3556810162315,7403,71.9546129947319,5598,74.6409431939979,1262,64.3264659270998
2801900,1607,70192.9060360921,1607,70.1929060360921,1681,70.0654372397383,1279,71.5402658326818,260,64.8461538461538
2802007,1488,71975.8064516129,1488,71.9758064516129,1600,71.55,1193,73.5792120704107,280,64.9285714285714
2802106,22817,73781.8293377745,22817,73.7818293377745,24999,72.9533181327253,17201,76.812975989768,5622,64.7171824973319
2802205,2422,72113.9554087531,2422,72.1139554087531,2565,71.6257309941521,2014,73.8232373386296,384,64.21875
2802304,5694,71991.5700737619,5694,71.9915700737619,6059,71.4672388182868,4332,74.4598337950139,1139,63.8981562774364
2802403,4843,65178.6083006401,4843,65.1786083006401,4998,65.1980792316927,4289,65.6096992305899,478,63.2635983263598
2802502,1052,69239.5437262357,1052,69.2395437262357,1106,69.1139240506329,779,70.9370988446727,194,64.9484536082474
2802601,2729,68574.5694393551,2729,68.5745694393551,2791,68.5345754209961,2458,69.0561432058584,216,63.8888888888889
2802700,3431,70352.6668609735,3431,70.3526668609735,3674,69.9618943930321,2907,72.1362229102167,572,63.2517482517482
2802809,6072,70869.5652173913,6072,70.8695652173913,6431,70.5146944487638,4990,72.6492985971944,976,62.8893442622951
2802908,30747,72600.2536832862,30747,72.6002536832862,35289,71.3712488310805,23919,74.8977800075254,9358,63.9495618721949
2803005,16269,75257.2376913148,16269,75.2572376913148,17260,74.5098493626883,12919,78.4704698506076,3226,62.5666460012399
2803104,1911,65871.2715855573,1911,65.8712715855573,1979,65.7301667508843,1562,66.6837387964149,292,62.8767123287671
2803203,12470,73409.7834803529,12470,73.4097834803529,13600,72.7102941176471,9751,76.0845041534202,2687,64.4212876814291
2803302,6050,74092.5619834711,6050,74.0925619834711,6498,73.2686980609418,4761,76.5469439193447,1181,64.7756138865368
2803401,5849,76033.5100017097,5849,76.0335100017097,6051,75.6569162121963,4964,78.215149073328,764,63.3769633507853
2803500,37129,72695.1978238035,37129,72.6951978238035,40666,71.8905227954557,28709,74.9534989027831,8647,64.4339077136579
2803609,8284,74978.2713664896,8284,74.9782713664896,9157,74.0024025335809,6317,77.9040683868925,2058,65.7142857142857
